old,new,comment
Bautista R.,Bautista Agut R.,
Bogomolov Jr.A.,Bogomolov A.,
Bogomolov Jr. A.,Bogomolov A.,
Carreno-Busta P.,Carreno Busta P.,
Chela J.,Chela J.I.,
Del Potro J.,Del Potro J.M.,
Del Potro J. M.,Del Potro J.M.,
Dutra Da Silva R.,Dutra Silva R.,
Ferrero J.,Ferrero J.C.,
Gambill J. M.,Gambill G.M.,
Garcia-Lopez G.,Garcia Lopez G.,
Gimeno-Traver D.,Gimeno Traver D.,
Guccione A.,Guccione C.,
Haiden-Mauer A.,Haiden Maurer A.,
Haiden-Maurer A.,Haiden Maurer A.,
Hantschek M.,Hantschk M.,
Herbert P.H,Herbert P.H.,
Kohlschreiber P..,Kohlschreiber P.,
Kuznetsov A.,Kuznetsov An.,
Lisnard J.,Lisnard J.R.,
Marin J.A,Marin J.A.,
Munoz-De La Nava D.,Munoz De La Nava D.,
Nadal-Parera R.,Nadal R.,
Querry S.,Querrey S.,
Qureshi A.,Qureshi A.U.H.,
Ramirez-Hidalgo R.,Ramirez Hidalgo R.,
Ramos A.,Ramos Vinolas A.,
Ramos-Vinolas A.,Ramos Vinolas A.,
Stebe C-M.,Stebe C.M.,
Ascione A.,Ascione T.,
Srichaphan N.,Srichaphan P.,
Schuettler P.,Schuettler R.,
Verdasco M.,Verdasco F.,
Kucera V.,Kucera K.,
Youzhny A.,Youzhny M.,
Djokovic N. ,Djokovic N.,
